	Jour	Annee	Mois	Jour.1	Depart	Arrivee	Pays	Km_jours	Km_cumule	Altitude	Lat_degres	Lat_minutes	Lat_decimale	Lat_radian	Long_degres	Long_minutes	Long_decimale	Long_radian	km_vol_oiseau	km_corde	km_segment	km_cumule	Unnamed: 22	Objet	Lieu	Contexte	Catégorie	Post	Jour xxx	Titre	Unnamed: 30	Poids	Taille	Couleur	Matiere	Origine	Unnamed: 36	Date	Coordonnees
37	38	2012	11	6	Moliets-et-Maâ	Capbreton	France	30	1126	-3	43	45.011	43.7502	0.7636	-1	#CHAMP!	#CHAMP!	#CHAMP!	516.2	516.1	22.7	797.8			Seignosse		Carnet de bord	1	Jour 38	Seignosse		0.56	56	17	1	1		mardi 6 novembre 2012	"N 43°45	011' W 1°24	075'"
189	190	2013	4	7	Nouakchott	Nouakchott	Mauritania	0	4655	-1	18	4.526	18.0754	0.3155	-15	#CHAMP!	#CHAMP!	#CHAMP!	3498.1	3454.3	1.9	4908.2		Ressort de pince à linge	Route du marché 5ème	Ballade et griots	Carnet de bord	1	Jour 190	Route du marché 5ème		0.49	16	14	2	2		dimanche 7 avril 2013	"N 18°04	526' W 15°59	276'"
39	40	2012	11	8	Anglet	Bidart	France	15	1176	-1	43	29.737	43.4956	0.7591	-1	#CHAMP!	#CHAMP!	#CHAMP!	538.2	538.0	0.0	828.4			Anglet		Carnet de bord	1	Jour 40	Anglet		1.68	40	13	7	1		jeudi 8 novembre 2012	"N 43°29	737' W 1°32	769'"
38	39	2012	11	7	Capbreton	Anglet	France	35	1161	-1	43	29.737	43.4956	0.7591	-1	#CHAMP!	#CHAMP!	#CHAMP!	538.2	538.0	30.6	828.4			"Anglet	 plage des Océanides"		Carnet de bord	1	Jour 39	"Anglet	 plage des Océanides"		0.49	0	13	7	1		mercredi 7 novembre 2012	"N 43°29	737' W 1°32	769'"
192	193	2013	4	10	Nouakchott	Nouakchott	Mauritania	0	4655	0	18	4.786	18.0798	0.3156	-15	#CHAMP!	#CHAMP!	#CHAMP!	3497.5	3453.8	0.5	4911.8		Aluminium	Chaudronnerie Nouakchott	Visite de l'atelier	Carnet de bord	1	Jour 193	Chaudronnerie Nouakchott		2.24	33	14	2	2		mercredi 10 avril 2013	"N 18°04	786' W 15°58	992'"
0	1	2012	9	30	Quimper	St-Goazec	France	40	40	1	47	59.66	47.9943	0.8377	-4	#CHAMP!	#CHAMP!	#CHAMP!	0.0	0.0	0.0	0.0			"Rue Sainte Catherine	 Quimper"		Carnet de bord	1	Jour 1	"Rue Sainte Catherine	 Quimper"		5.86	62	4	0	2		dimanche 30 septembre 2012	"N 47°59'39.6024"" W 4°6'9.2874"""
24	25	2012	10	24	Bordeaux	Bordeaux	France	0	881	1	44	51.581	44.8597	0.7829	0	#CHAMP!	#CHAMP!	#CHAMP!	441.3	441.2	3.7	633.1			"Bordeaux	 appartement de Pascaline et George"		Carnet de bord	1	Jour 25	"Bordeaux	 appartement de Pascaline et George"		0.58	0	0	3	2		mercredi 24 octobre 2012	"N 44°51	581' W 0°34	266'"
25	26	2012	10	25	Bordeaux	Bordeaux	France	0	881	1	44	51.595	44.8599	0.783	0	#CHAMP!	#CHAMP!	#CHAMP!	441.3	441.2	0.0	633.1			"30	 rue du temple	 Bordeaux"		Carnet de bord	1	Jour 26	"30	 rue du temple	 Bordeaux"		0.94	105	7	5	2		jeudi 25 octobre 2012	"N 44°51	595' W 0°34	256'"
26	27	2012	10	26	Bordeaux	Bordeaux	France	0	881	1	44	51.582	44.8597	0.7829	0	#CHAMP!	#CHAMP!	#CHAMP!	441.3	441.2	0.0	633.1			Bordeaux		Carnet de bord	1	Jour 27	Bordeaux		0.79	100	11	4	2		vendredi 26 octobre 2012	"N 44°51	582' W 0°34	276'"
27	28	2012	10	27	Bordeaux	Bordeaux	France	0	881	1	44	49.803	44.8301	0.7824	0	#CHAMP!	#CHAMP!	#CHAMP!	444.1	444.0	3.3	636.4			Médiatèque de Pessac		Carnet de bord	1	Jour 28	Médiatèque de Pessac		1.62	85	15	5	2		samedi 27 octobre 2012	"N 44°49	803' W 0°34	084'"
28	29	2012	10	28	Bordeaux	Bordeaux	France	0	881	1	44	49.803	44.8301	0.7824	0	#CHAMP!	#CHAMP!	#CHAMP!	444.1	444.0	0.0	636.4			"Marché des Cappucins	 Bordeaux"		Carnet de bord	1	Jour 29	"Marché des Cappucins	 Bordeaux"		4.28	106	14	2	2		dimanche 28 octobre 2012	"N 44°49	803' W 0°34	084'"
29	30	2012	10	29	Bordeaux	Bordeaux	France	0	881	1	44	51.581	44.8597	0.7829	0	#CHAMP!	#CHAMP!	#CHAMP!	441.3	441.2	3.3	639.7			"Bordeaux	 appartement de Pascaline et George"		Carnet de bord	1	Jour 30	"Bordeaux	 appartement de Pascaline et George"		0.46	0	7	4	2		lundi 29 octobre 2012	"N 44°51	581' W 0°34	266'"
32	33	2012	11	1	Gujan	Pyla-sur-mer	France	25	941	1	44	37.874	44.6312	0.779	-1	#CHAMP!	#CHAMP!	#CHAMP!	435.3	435.2	10.1	698.4			Pilat sur Mer		Carnet de bord	1	Jour 33	Pilat sur Mer		1.27	38	8	0	2		jeudi 1 novembre 2012	"N 44°37	874' W 1°12	220'"
31	32	2012	10	31	Talence	Gujan	France	25	916	1	44	38.648	44.6441	0.7792	-1	#CHAMP!	#CHAMP!	#CHAMP!	439.1	439.0	43.1	688.3			Port de Gujan		Carnet de bord	1	Jour 32	Port de Gujan		1.12	20	17	7	1		mercredi 31 octobre 2012	"N 44°38	648' W 1°04	645'"
23	24	2012	10	23	Bordeaux	Bordeaux	France	0	881	1	44	49.72	44.8287	0.7824	0	#CHAMP!	#CHAMP!	#CHAMP!	444.9	444.8	1.0	629.4			"Locaux de Recup'R	 Bordeaux"		Carnet de bord	1	Jour 24	"Locaux de Recup'R	 Bordeaux"		4.82	16	14	2	2		mardi 23 octobre 2012	"N 44°49	720' W 0°33	273'"
74	75	2012	12	13	Melilla	Route-de-Segangan	Morocco	25	2031	1	35	17.872	35.2979	0.6161	-2	#CHAMP!	#CHAMP!	#CHAMP!	1415.4	1412.5	218.1	2042.0		Verre dépoli	Melilla	Nuit en zone militaire	Carnet de bord	1	Jour 75	Melilla		10.15	0	6	8	2		jeudi 13 décembre 2012	"N 35°17	872' W 2°56	181'"
503	504	2014	2	15	Poka''an'	Besuki	Indonesia	50	7446	1	-7	#CHAMP!	#CHAMP!	#CHAMP!	113	41.474	113.6912	1.9843	12697.1	10698.8	44.2	40886.5		Huile	Besuki	Nuit au post de police	Almanach	0	Jour 504			6.24	72	0	0	0		samedi 15 février 2014	"S 07°44	104' E 113°41	474'"
492	493	2014	2	4	Gardu-Listrik	Yeh-Sumbul	Indonesia	50	7236	1	-8	#CHAMP!	#CHAMP!	#CHAMP!	114	48.192	114.8032	2.1937	12834.1	10772.6	35.9	40671.5		Crayon feutre	"Yeh Sumbul	 village de pécheurs"	Nuit à la belle	Carnet de bord	1	Jour 493	"Yeh Sumbul	 village de pécheurs"		1.02	61	10	0	2		mardi 4 février 2014	"S 08°24	901' E 114°48	192'"
409	410	2013	11	13	Ocean-Beach	Laguna-Beach	U.S.A	20	5790	1	33	32.294	33.5382	0.5854	-117	#CHAMP!	#CHAMP!	#CHAMP!	8815.0	8128.9	100.5	24732.6		Feuillage plastique	Laguna Beach	Nuit de merde	Carnet de bord	1	Jour 410	Laguna Beach		0.62	72	14	3	2		mercredi 13 novembre 2013	"N 33°32	294' W 117°47	265'"
30	31	2012	10	30	Bordeaux	Talence	France	10	891	1	44	48.645	44.8108	0.7821	0	#CHAMP!	#CHAMP!	#CHAMP!	445.0	444.9	5.6	645.3			Petit chalet bordelais		Carnet de bord	1	Jour 31	Petit chalet bordelais		0.38	25	12	0	2		mardi 30 octobre 2012	"N 44°48	645' W 0°35	141'"
22	23	2012	10	22	Bordeaux	Bordeaux	France	0	881	1	44	50.003	44.8334	0.7825	0	#CHAMP!	#CHAMP!	#CHAMP!	444.0	443.9	0.0	628.4			"Quartier Saint Michel	 Bordeaux"		Carnet de bord	1	Jour 23	"Quartier Saint Michel	 Bordeaux"		3.25	20	6	6	1		lundi 22 octobre 2012	"N 44°50	003' W 0°33	899'"
104	105	2013	1	12	Plage-du-Val-d''Or'	Casablanca	Morocco	80	2511	1	33	54.482	33.908	0.5918	-6	#CHAMP!	#CHAMP!	#CHAMP!	1585.1	1581.0	18.8	2495.2		Cheville	Plage du Val D'Or	Petit déjeuner avec gardiens	Carnet de bord	1	Jour 105	Plage du Val D'Or		1.22	38	8	3	2		samedi 12 janvier 2013	"N 33°54	482' W 6°59	421'"
20	21	2012	10	20	Soussans	Blanquefort	France	25	861	1	44	54.507	44.9085	0.7838	0	#CHAMP!	#CHAMP!	#CHAMP!	434.2	434.1	17.3	618.6			Blanquefort		Carnet de bord	1	Jour 21	Blanquefort		0.79	111	13	5	2		samedi 20 octobre 2012	"N 44°54	507' W 0°37	757'"
3	4	2012	10	3	Mur-de-Bretagne	Guillac	France	80	220	1	48	6.37	48.1062	0.8396	-2	#CHAMP!	#CHAMP!	#CHAMP!	89.1	89.1	9.7	101.2			"Pontivy	 Escalier d'écluses"		Carnet de bord	1	Jour 4	"Pontivy	 Escalier d'écluses"		1.71	0	14	2	2		mercredi 3 octobre 2012	"N 48°06	370' W 2°54	972'"
4	5	2012	10	4	Guillac	Guenrouet	France	80	300	1	47	31.889	47.5315	0.8296	-1	#CHAMP!	#CHAMP!	#CHAMP!	168.2	168.2	95.8	197.0			Canal de Nantes à Brest		Carnet de bord	1	Jour 5	Canal de Nantes à Brest		0.13	103	9	3	2		jeudi 4 octobre 2012	"N 47°31	889' W 1°57	664'"
6	7	2012	10	6	Nantes	Nantes	France	0	380	1	47	21.257	47.3543	0.8265	-1	#CHAMP!	#CHAMP!	#CHAMP!	224.5	224.5	45.7	253.8			"Blanchelande	 Oudon"		Carnet de bord	1	Jour 7	"Blanchelande	 Oudon"		0.54	42	17	1	2		samedi 6 octobre 2012	"N 47°21'15.4404"" W 1°15'32.3202"""
21	22	2012	10	21	Blanquefort	Bordeaux	France	20	881	1	44	50.009	44.8335	0.7825	0	#CHAMP!	#CHAMP!	#CHAMP!	443.9	443.8	9.7	628.3			"Bordeaux	 “C’est chez nous”"		Carnet de bord	1	Jour 22	"Bordeaux	 “C’est chez nous”"		2.16	26	14	6	2		dimanche 21 octobre 2012	"N 44°50	009' W 0°33	932'"
5	6	2012	10	5	Guenrouet	Nantes	France	80	380	1	47	28.48	47.4747	0.8286	-1	#CHAMP!	#CHAMP!	#CHAMP!	178.9	178.9	11.1	208.1			Ecluse Bougard		Carnet de bord	1	Jour 6	Ecluse Bougard		2.18	23	0	0	2		vendredi 5 octobre 2012	"N 47°28	480' W 1°50	376'"
8	9	2012	10	8	Nantes	Nantes	France	0	380	1	47	13.764	47.2294	0.8243	-1	#CHAMP!	#CHAMP!	#CHAMP!	207.1	207.1	28.2	282.0			"Ping Base	 Nantes"		Carnet de bord	1	Jour 9	"Ping Base	 Nantes"		0.49	12	13	3	2		lundi 8 octobre 2012	"N 47°13	764' W 1°35	059'"
9	10	2012	10	9	Nantes	Pornic	France	55	435	1	47	4.208	47.0701	0.8215	-2	#CHAMP!	#CHAMP!	#CHAMP!	181.9	181.9	43.1	325.1			Pornic		Carnet de bord	1	Jour 10	Pornic		7.92	46	17	2	2		mardi 9 octobre 2012	"N 47°04	208' W 2°06	210'"
2	3	2012	10	2	Rostrenen	Mur-de-Bretagne	France	40	140	1	48	10.365	48.1728	0.8408	-3	#CHAMP!	#CHAMP!	#CHAMP!	84.3	84.3	45.1	91.5			Porte de Guerlédan		Carnet de bord	1	Jour 3	Porte de Guerlédan		0.22	17	15	1	1		mardi 2 octobre 2012	"N 48°10	365' W 3°0	004'"
1	2	2012	10	1	St-Goazec	Rostrenen	France	60	100	1	48	14.518	48.242	0.842	-3	#CHAMP!	#CHAMP!	#CHAMP!	46.4	46.4	46.4	46.4			Port-Carhaix		Carnet de bord	1	Jour 2	Port-Carhaix		0.15	74	12	3	2		lundi 1 octobre 2012	"N 48°14'31.0596"" W 3°35'58.8078"""
7	8	2012	10	7	Nantes	Nantes	France	0	380	1	47	21.257	47.3543	0.8265	-1	#CHAMP!	#CHAMP!	#CHAMP!	224.5	224.5	0.0	253.8			"Blanchelande	 Oudon"		Carnet de bord	1	Jour 8	"Blanchelande	 Oudon"		0.2	60	17	7	1		dimanche 7 octobre 2012	"N 47°21'15.4404"" W 1°15'32.3202"""
11	12	2012	10	11	Bouin	St-Hilaire-de-Riez	France	40	495	1	46	43.876	46.7313	0.8156	-1	#CHAMP!	#CHAMP!	#CHAMP!	212.5	212.5	36.9	369.7			Saint Hillaire de Rietz		Carnet de bord	1	Jour 12	Saint Hillaire de Rietz		0.17	0	17	7	1		jeudi 11 octobre 2012	"N 46°43'52.554"" W 1°59'11.4534"""
12	13	2012	10	12	St-Hilaire-de-Riez	Le-Champ-St-Père	France	91	586	1	46	29.488	46.4915	0.8114	-1	#CHAMP!	#CHAMP!	#CHAMP!	267.5	267.5	56.4	426.2			Champs Saint Père maison d'Aurore et Julien		Carnet de bord	1	Jour 13	Champs Saint Père maison d'Aurore et Julien		0.19	103	11	4	2		vendredi 12 octobre 2012	"N 46°29	488' W 1°20	129'"
13	14	2012	10	13	Le-Champ-St-Père	Le-Champ-St-Père	France	0	586	1	46	29.488	46.4915	0.8114	-1	#CHAMP!	#CHAMP!	#CHAMP!	267.5	267.5	0.0	426.2			"Champs Saint Père	 maison de Aurore et Julien"		Carnet de bord	1	Jour 14	"Champs Saint Père	 maison de Aurore et Julien"		0.06	104	17	7	1		samedi 13 octobre 2012	"N 46°29	488' W 1°20	129'"
14	15	2012	10	14	Le-Champ-St-Père	Marans	France	45	631	1	46	23.6	46.3933	0.8097	-1	#CHAMP!	#CHAMP!	#CHAMP!	282.4	282.4	15.0	441.2			Frontière de la Charente		Carnet de bord	1	Jour 15	Frontière de la Charente		0.1	36	17	1	1		dimanche 14 octobre 2012	"N 46°23	6004' W 1°12	089'"
15	16	2012	10	15	Marans	Aytré	France	30	661	1	46	13.16	46.2193	0.8067	-1	#CHAMP!	#CHAMP!	#CHAMP!	304.0	304.0	22.7	463.8			Canal près de Maraine		Carnet de bord	1	Jour 16	Canal près de Maraine		0.04	82	13	7	1		lundi 15 octobre 2012	"N 46°13	160' W 1°02	864'"
16	17	2012	10	16	Aytré	St-Agnant	France	50	711	1	46	6.916	46.1153	0.8049	-1	#CHAMP!	#CHAMP!	#CHAMP!	307.6	307.6	12.9	476.8			"Aytré	 zone noire"		Carnet de bord	1	Jour 17	"Aytré	 zone noire"		2.68	42	17	2	2		mardi 16 octobre 2012	"N 46°06	916' W 1°07	362'"
19	20	2012	10	19	Conac	Soussans	France	55	836	1	45	3.29	45.0548	0.7864	0	#CHAMP!	#CHAMP!	#CHAMP!	417.6	417.5	48.2	601.3			Lamarque		Carnet de bord	1	Jour 20	Lamarque		0.34	68	13	5	2		vendredi 19 octobre 2012	"N 45°03	290' W 0°42	325'"
17	18	2012	10	17	St-Agnant	Floirac	France	50	761	1	45	50.585	45.8431	0.8001	0	#CHAMP!	#CHAMP!	#CHAMP!	338.7	338.7	33.2	510.0			Grange à Saint Aignant		Carnet de bord	1	Jour 18	Grange à Saint Aignant		0.52	17	17	7	2		mercredi 17 octobre 2012	"N 45°50	585' W 0°56.752'"
10	11	2012	10	10	Pornic	Bouin	France	20	455	1	47	3.76	47.0627	0.8214	-2	#CHAMP!	#CHAMP!	#CHAMP!	188.8	188.8	7.8	332.9			"Café ""Les embruns"""		Carnet de bord	1	Jour 11	"Café ""Les embruns"""		0.18	92	15	5	2		mercredi 10 octobre 2012	"N 47°03	760' W 2°00	07'"
18	19	2012	10	18	Floirac	Conac	France	20	781	1	45	29.254	45.4876	0.7939	0	#CHAMP!	#CHAMP!	#CHAMP!	379.4	379.4	43.1	553.1			"Fiolle	 commune de Floirac"		Carnet de bord	1	Jour 19	"Fiolle	 commune de Floirac"		1.02	32	11	0	2		jeudi 18 octobre 2012	"N 45°29	254' W 0°43	483'"
852	853	2015	4	29	Tirebolu	Bulancak	Turkey	60	12123	2	40	56.368	40.9395	0.7145	38	13.193	38.2199	0.6671	3404.4	3364.0	47.8	65380.5		Œil protecteur	"Bulancak	 Turquie"	Daulphin daulphin daulphin	Almanach	0	Jour 853			0.1	14	8	3	2		mercredi 29 avril 2015	"N 40°56	368' E 38°13	193'"
165	166	2013	3	14	Plage-de-Boutalha	Plage-de-Boutalha	Morocco	0	3830	2	23	49.899	23.8317	0.4159	-15	#CHAMP!	#CHAMP!	#CHAMP!	2881.1	2856.7	0.0	4157.2		Pierre rouge piment	Plage de Boutalha	Paradis d'Ahmed	Carnet de bord	1	Jour 166	Plage de Boutalha		3.15	25	1	6	1		jeudi 14 mars 2013	"N 23°49	899' W 15°51	937'"
501	502	2014	2	13	Banyuwangi	Banyuwangi	Indonesia	15	7326	2	-8	#CHAMP!	#CHAMP!	#CHAMP!	114	24.745	114.4124	1.9969	12779.3	10743.2	12.9	40783.9		Graine non ID	Sortie nord de Banyuwangi	Faux départ	Almanach	0	Jour 502			0.88	15	3	1	1		jeudi 13 février 2014	"S 08°05	819' E 114°24	745'"
44	45	2012	11	13	San-Sebastian	Deba	Spain	50	1311	2	43	17.905	43.2984	0.7557	-2	#CHAMP!	#CHAMP!	#CHAMP!	539.6	539.4	28.3	900.9			Deba		Carnet de bord	1	Jour 45	Deba		0.1	32	5	3	0		mardi 13 novembre 2012	"N 43°17	905' W 2°21	391'"
183	184	2013	4	1	Nouakchott	Nouakchott	Mauritania	0	4655	2	18	2.177	18.0363	0.3148	-16	#CHAMP!	#CHAMP!	#CHAMP!	3503.3	3459.3	7.3	4897.7		Circuit éléctronique	Port de Nouakchott	Retour de campagne	Carnet de bord	1	Jour 184	Port de Nouakchott		0.6	24	6	0	2		lundi 1 avril 2013	"N 18°02	177' W 16°01	380'"
442	443	2013	12	16	San-Luis-Obispo	San-Simeon	U.S.A	60	6345	2	35	35.684	35.5947	0.6212	-121	#CHAMP!	#CHAMP!	#CHAMP!	8822.9	8134.9	54.3	25407.3		Caillou bordeau	San Simeon	Camping sous les ponts	Carnet de bord	1	Jour 443	San Simeon		1.45	11	17	6	1		lundi 16 décembre 2013	"N 35°35	684' W 121°07	556'"
471	472	2014	1	14	Minna-Street	Minna-Street	U.S.A	0	7037	2	37	47.504	37.7917	0.6596	-122	#CHAMP!	#CHAMP!	#CHAMP!	8696.8	8037.5	2.4	26170.0		Crochet de stylo	"Market Street	 San Francisco"	Off 	Carnet de bord	1	Jour 472	"Market Street	 San Francisco"		0.95	45	14	2	2		mardi 14 janvier 2014	"N 37°47	504' W 122°23	898'"
164	165	2013	3	13	Dakhla	Plage-de-Boutalha	Morocco	20	3830	2	23	49.899	23.8317	0.4159	-15	#CHAMP!	#CHAMP!	#CHAMP!	2881.1	2856.7	16.3	4157.2		Anneau	Plage de Boutalha	Deuil de piercing	Carnet de bord	1	Jour 165	Plage de Boutalha		0.27	10	14	2	2		mercredi 13 mars 2013	"N 23°49	899' W 15°51	937'"
133	134	2013	2	10	Mirleft	Route-de-Sidi-Ifni	Morocco	6	3280	3	29	32.195	29.5366	0.5155	-10	#CHAMP!	#CHAMP!	#CHAMP!	2115.3	2105.6	8.5	3158.0		Nacre millénaire	Route de Sidi Ifni	Il faut trouver quelque chose 	Carnet de bord	1	Jour 134	Route de Sidi Ifni		2.58	36	17	7	1		dimanche 10 février 2013	N 29°32.195' W 10°03.554'
114	115	2013	1	22	Essaouira	Sidi-Kaouki	Morocco	30	2941	3	31	19.885	31.3314	0.5468	-9	#CHAMP!	#CHAMP!	#CHAMP!	1915.0	1907.8	20.5	2904.0		Papillon	Sidi Kaouki	Eau courante salée	Carnet de bord	1	Jour 115	Sidi Kaouki		0.05	25	17	7	1		mardi 22 janvier 2013	N 31°19.885' W 9°47.591'
452	453	2013	12	26	Half-Moon-Bay	San-Francisco	U.S.A	50	6715	3	37	48.006	37.8001	0.6597	-122	#CHAMP!	#CHAMP!	#CHAMP!	8695.8	8036.7	37.0	26053.9		Punaise	San Francisco Downtown	Terminus	Carnet de bord	1	Jour 453	San Francisco Downtown		0.54	27	17	0	2		jeudi 26 décembre 2013	"N 37°48	006' W 122°23	662'"
502	503	2014	2	14	Banyuwangi	Poka''an'	Indonesia	70	7396	3	-7	#CHAMP!	#CHAMP!	#CHAMP!	114	5.322	114.0887	1.9912	12721.0	10711.7	58.4	40842.3		Clef	Poka'an	Nuit chez les pecheurs	Almanach	0	Jour 503			1.27	25	17	2	2		vendredi 14 février 2014	"S 07°40	876' E 114°05	322'"
851	852	2015	4	28	Akçaabat	Tirebolu	Turkey	75	12063	3	40	59.549	40.9925	0.7155	38	47.112	38.7852	0.6769	3443.7	3401.9	64.1	65332.6		Tube métal 	"Tirebolu	 Turquie"	Rencontre de Sam le cycliste 	Carnet de bord	1	Jour 852	"Reprise d'antenne	 toujours vers l'ouest..."		2.02	9	17	2	2		mardi 28 avril 2015	"N 40°59	549' E 38°47	112'"
433	434	2013	12	7	Camarillo	Oxnard	U.S.A	20	6060	3	34	12.343	34.2057	0.597	-119	#CHAMP!	#CHAMP!	#CHAMP!	8830.2	8140.6	31.1	25151.8		Porte puce	"Champ de citronnier	 Camarillo"	Journée de merde	Carnet de bord	1	Jour 434	"Champ de citronnier	 Camarillo"		0.24	20	14	2	2		samedi 7 décembre 2013	N 34°12.343' W 119°04.081'
406	407	2013	11	10	Tijuana	Tijuana	Mexico	50	5690	3	32	32.067	32.5345	0.5678	-117	#CHAMP!	#CHAMP!	#CHAMP!	8863.4	8166.1	18.1	24591.4		Ressort	Extrême nord ouest mexicain	Cours de Yoga	Carnet de bord	1	Jour 407	Extrême nord ouest mexicain		1.09	22	14	2	2		dimanche 10 novembre 2013	"N 32°32	067' W 117°07	371'"
100	101	2013	1	8	Rabat	Rabat	Morocco	0	2411	3	34	2.573	34.0429	0.5942	-6	#CHAMP!	#CHAMP!	#CHAMP!	1568.3	1564.3	2.4	2472.6		Dent de mouton	Salé	Ville de pirates	Carnet de bord	1	Jour 101	Salé		1.59	25	17	7	1		mardi 8 janvier 2013	"N 34°02	573' W 6°49	894'"
190	191	2013	4	8	Nouakchott	Nouakchott	Mauritania	0	4655	3	18	5.537	18.0923	0.3158	-15	#CHAMP!	#CHAMP!	#CHAMP!	3496.0	3452.4	2.1	4910.3		Epingle	Non loin du marché Capital	Route du mafé	Carnet de bord	1	Jour 191	Non loin du marché Capital		0.11	36	13	0	2		lundi 8 avril 2013	"N 18°05	537' W 15°58	761'"
990	991	2015	9	15	Nantes	Nantes	France	10	17765	3	47	12.185	47.2031	0.8238	-1	#CHAMP!	#CHAMP!	#CHAMP!	209.2	209.2	0.7	69505.7		Ampoule	Ile de Nantes	Présentation à Ping	Almanach	0	Jour 991			2.25	40	14	0	2		mardi 15 septembre 2015	"N 47°12	185' W 01'34	301'"
551	552	2014	4	4	Jakarta	Jakarta	Indonesia	35	8626	3	-6	#CHAMP!	#CHAMP!	#CHAMP!	106	52.891	106.8815	1.8654	12068.0	10344.0	22.5	43699.9		Ecrou	"Tanjung Priok	 Jakarta"	Départ	Carnet de bord	1	Jour 552	Un arrière-goût de Jakarta...		2.18	10	17	2	2		vendredi 4 avril 2014	"S 06°06	218' N 106°52	891'"
99	100	2013	1	7	Rabat	Rabat	Morocco	0	2411	3	34	1.617	34.027	0.5939	-6	#CHAMP!	#CHAMP!	#CHAMP!	1570.3	1566.3	0.9	2470.2		Led	Côte de Rabat	Repos	Carnet de bord	1	Jour 100	Côte de Rabat		0.52	20	12	0	2		lundi 7 janvier 2013	"N 34°01	617' W 6°50	992'"
204	205	2013	4	22	Saint-Louis	Saint-Louis	Senegal	0	4935	4	16	1.425	16.0238	0.2797	-16	#CHAMP!	#CHAMP!	#CHAMP!	3732.7	3679.5	1.0	5157.6		Etiquette metallique	Saint Louis	A la rencontre de l'homme aux vélos	Carnet de bord	1	Jour 205	Saint Louis		2.35	58	14	2	2		lundi 22 avril 2013	"N 16°01	425' W 16°30	227'"
174	175	2013	3	23	Route-de-Nouakchott	Route-de-Nouakchott	Mauritania	155	4625	4	18	19.763	18.3294	0.3199	-16	#CHAMP!	#CHAMP!	#CHAMP!	3471.5	3428.7	137.8	4861.4		Grillage	Route de Nouakchott	Douane hôtel	Carnet de bord	1	Jour 175	Route de Nouakchott		0.76	28	17	2	2		samedi 23 mars 2013	"N 18°19	763' W 16°00	642'"
685	686	2014	11	13	Lucknow	Aéroport-Kolcata	India	0	10771	4	22	39.123	22.652	0.3954	88	26.78	88.4463	1.5437	8342.6	7759.6	890.3	50677.9		pétard	Aéroport Kolcata	Climatisation	Almanach	0	Jour 686			0.73	51	11	5	2		jeudi 13 novembre 2014	"N 22°39	1226' E 88°26	7798'"
821	822	2015	3	29	Nigvziani	Shekvetili	Georgia	45	11677	4	41	53.755	41.8959	0.7312	41	46.278	41.7713	0.729	3619.1	3570.7	23.4	64661.3		Hippocampe 	"Shekvetili	 Georgie"	Rencontre avec la mer noire	Almanach	0	Jour 822			0.65	60	17	7	1		dimanche 29 mars 2015	"N 41°53	755' E 41°46	278'"
200	201	2013	4	18	Keur-Massene	Diama	Senegal	50	4900	4	16	30.268	16.5045	0.2881	-16	#CHAMP!	#CHAMP!	#CHAMP!	3675.1	3624.4	7.9	5098.1		Balle	 Parc Naturel de Djoudj	Safari	Carnet de bord	1	Jour 201	 Parc Naturel de Djoudj		5.15	43	14	2	2		jeudi 18 avril 2013	"N 16°30	268' W 16°17	440'"
414	415	2013	11	18	Los-Angeles	Los-Angeles	U.S.A	0	5920	4	33	59.102	33.985	0.5932	-118	#CHAMP!	#CHAMP!	#CHAMP!	8815.6	8129.3	21.2	24847.5		Bouton pression	Venice Beach	Ballade sur Venice	Carnet de bord	1	Jour 415	Venice Beach		0.25	13	14	2	2		lundi 18 novembre 2013	"N 33°59	102' W 118°28	399'"
398	399	2013	11	2	La-Paz	Santa-Rosalia	Mexico	10	5330	4	24	9.839	24.164	0.4217	-110	#CHAMP!	#CHAMP!	#CHAMP!	9155.8	8388.4	2.5	23376.1		Billets de bus	"Station de bus	 La Paz"	Raccourci	Carnet de bord	1	Jour 399	"Station de bus	 La Paz"		0.98	70	8	5	2		samedi 2 novembre 2013	"N 24°09	839' W 110°18	945'"
892	893	2015	6	8	Istanbul	Istanbul	Turkey	0	13293	4	40	59.558	40.9926	0.7155	29	1.42	29.0237	0.5066	2717.6	2697.0	5.7	66316.6		D imprimé	"Kadıköy	 Istanbul	 Turquie"	Visite Iskele47	Almanach	0	Jour 893			0.16	11	14	3	2		lundi 8 juin 2015	"N 40°59	558' E 29°01	420'"
446	447	2013	12	20	Carmel	Watsonville	U.S.A	40	6555	4	35	15.695	35.2616	0.6154	-120	#CHAMP!	#CHAMP!	#CHAMP!	8828.8	8139.5	180.1	25715.6		Sucre d'orge	Salle des fêtes de Watsonville	Surprise	Carnet de bord	1	Jour 447	Salle des fêtes de Watsonville		5.89	57	14	0	2		vendredi 20 décembre 2013	"N 35°15	695' W 120°41	955'"
408	409	2013	11	12	San-Diego	Ocean-Beach	U.S.A	45	5770	4	32	45.282	32.7547	0.5717	-117	#CHAMP!	#CHAMP!	#CHAMP!	8851.9	8157.2	31.7	24632.1		Papillon	Ocean Beach	Rencontres	Carnet de bord	1	Jour 409	Ocean Beach		2.27	20	0	2	2		mardi 12 novembre 2013	"N 32°45	282' W 117°15	080'"
